Time	Type	Process
5.767055822585926	arrival	<__main__.Process object at 0x0000014F51CFF650>
5.800745508340746	arrival	<__main__.Process object at 0x0000014F51CFF6D0>
5.800745508340746	departure	<__main__.Process object at 0x0000014F51CFC810>
5.907782245988755	arrival	<__main__.Process object at 0x0000014F51CFF790>
5.9531731266256	arrival	<__main__.Process object at 0x0000014F51CFF810>
5.9531731266256	departure	<__main__.Process object at 0x0000014F51CFC910>
5.961062304069508	arrival	<__main__.Process object at 0x0000014F51CFF8D0>
6.159751520326085	arrival	<__main__.Process object at 0x0000014F51CFF950>
6.159751520326085	departure	<__main__.Process object at 0x0000014F51CFC9D0>
6.181195408603208	arrival	<__main__.Process object at 0x0000014F51CFFA10>
6.372499026245242	arrival	<__main__.Process object at 0x0000014F51CFFA90>
6.372499026245242	departure	<__main__.Process object at 0x0000014F51CFCAD0>
6.406233511097693	swapping	<__main__.Process object at 0x0000014F51CFCAD0>
6.406233511097693	arrival	<__main__.Process object at 0x0000014F51CFFB90>
6.406233511097693	departure	<__main__.Process object at 0x0000014F51CFCB90>
6.407269084839115	arrival	<__main__.Process object at 0x0000014F51CFFC50>
6.407269084839115	departure	<__main__.Process object at 0x0000014F51CFCAD0>
6.461483186565477	arrival	<__main__.Process object at 0x0000014F51CFFD10>
6.564500653358559	arrival	<__main__.Process object at 0x0000014F51CFFD90>
6.564500653358559	departure	<__main__.Process object at 0x0000014F51CFCC50>
6.737945541969698	arrival	<__main__.Process object at 0x0000014F51CFFE50>
6.775102080664915	arrival	<__main__.Process object at 0x0000014F51CFFED0>
6.775102080664915	departure	<__main__.Process object at 0x0000014F51CFCCD0>
6.8042885771030885	arrival	<__main__.Process object at 0x0000014F51CFFF90>
6.856983579305061	arrival	<__main__.Process object at 0x0000014F51D0C050>
6.856983579305061	departure	<__main__.Process object at 0x0000014F51CFCD90>
6.862398954245499	arrival	<__main__.Process object at 0x0000014F51D0C110>
6.884052850556449	arrival	<__main__.Process object at 0x0000014F51D0C190>
6.884052850556449	departure	<__main__.Process object at 0x0000014F51CFCE10>
6.89229771289409	swapping	<__main__.Process object at 0x0000014F51CFCE10>
6.89229771289409	arrival	<__main__.Process object at 0x0000014F51D0C290>
6.89229771289409	departure	<__main__.Process object at 0x0000014F51CFCED0>
6.940024439048703	arrival	<__main__.Process object at 0x0000014F51D0C350>
6.940024439048703	departure	<__main__.Process object at 0x0000014F51CFCE10>
6.982504116818639	swapping	<__main__.Process object at 0x0000014F51CFCE10>
6.982504116818639	arrival	<__main__.Process object at 0x0000014F51D0C450>
6.982504116818639	departure	<__main__.Process object at 0x0000014F51CFCE10>
7.060123446333495	arrival	<__main__.Process object at 0x0000014F51D0C510>
7.060123446333495	departure	<__main__.Process object at 0x0000014F51CFCF50>
7.117171237467185	swapping	<__main__.Process object at 0x0000014F51CFCF50>
7.117171237467185	arrival	<__main__.Process object at 0x0000014F51D0C610>
7.117171237467185	departure	<__main__.Process object at 0x0000014F51CFCF50>
7.142019285420756	swapping	<__main__.Process object at 0x0000014F51CFCF50>
7.142019285420756	arrival	<__main__.Process object at 0x0000014F51D0C710>
7.142019285420756	departure	<__main__.Process object at 0x0000014F51CFCF50>
7.1699259656561996	arrival	<__main__.Process object at 0x0000014F51D0C7D0>
7.1699259656561996	departure	<__main__.Process object at 0x0000014F51CFD110>
7.210512805623647	arrival	<__main__.Process object at 0x0000014F51D0C890>
7.210512805623647	departure	<__main__.Process object at 0x0000014F51CFD050>
7.300676692797798	swapping	<__main__.Process object at 0x0000014F51CFD050>
7.300676692797798	arrival	<__main__.Process object at 0x0000014F51D0C990>
7.300676692797798	departure	<__main__.Process object at 0x0000014F51CFD050>
7.343391270849431	arrival	<__main__.Process object at 0x0000014F51D0CA50>
7.343391270849431	departure	<__main__.Process object at 0x0000014F51CFD1D0>
7.48032732730274	arrival	<__main__.Process object at 0x0000014F51D0CB10>
7.50890464465825	arrival	<__main__.Process object at 0x0000014F51D0CB90>
7.50890464465825	departure	<__main__.Process object at 0x0000014F51CFD250>
7.51150569831259	arrival	<__main__.Process object at 0x0000014F51D0CC50>
7.598432268910553	arrival	<__main__.Process object at 0x0000014F51D0CCD0>
7.598432268910553	departure	<__main__.Process object at 0x0000014F51CFD350>
7.615548697085945	arrival	<__main__.Process object at 0x0000014F51D0CD90>
7.802829537153174	arrival	<__main__.Process object at 0x0000014F51D0CE10>
7.802829537153174	departure	<__main__.Process object at 0x0000014F51CFD410>
7.830451004253934	arrival	<__main__.Process object at 0x0000014F51D0CED0>
7.853915683222828	arrival	<__main__.Process object at 0x0000014F51D0CF50>
7.853915683222828	departure	<__main__.Process object at 0x0000014F51CFD510>
7.959277068258533	swapping	<__main__.Process object at 0x0000014F51CFD510>
7.959277068258533	arrival	<__main__.Process object at 0x0000014F51D0D050>
7.959277068258533	departure	<__main__.Process object at 0x0000014F51CFD610>
7.980787211965905	swapping	<__main__.Process object at 0x0000014F51CFD610>
7.980787211965905	arrival	<__main__.Process object at 0x0000014F51D0D150>
7.980787211965905	departure	<__main__.Process object at 0x0000014F51CFD710>
8.029387268053458	arrival	<__main__.Process object at 0x0000014F51D0D210>
8.029387268053458	departure	<__main__.Process object at 0x0000014F51CFD610>
8.109080774692131	arrival	<__main__.Process object at 0x0000014F51D0D2D0>
8.109080774692131	departure	<__main__.Process object at 0x0000014F51CFD510>
8.120894149368242	swapping	<__main__.Process object at 0x0000014F51CFD510>
8.120894149368242	arrival	<__main__.Process object at 0x0000014F51D0D3D0>
8.120894149368242	departure	<__main__.Process object at 0x0000014F51CFD7D0>
8.139894315388451	swapping	<__main__.Process object at 0x0000014F51CFD7D0>
8.139894315388451	arrival	<__main__.Process object at 0x0000014F51D0D4D0>
8.139894315388451	departure	<__main__.Process object at 0x0000014F51CFD890>
8.16236893511031	arrival	<__main__.Process object at 0x0000014F51D0D590>
8.16236893511031	departure	<__main__.Process object at 0x0000014F51CFD7D0>
8.171117149397533	swapping	<__main__.Process object at 0x0000014F51CFD7D0>
8.171117149397533	arrival	<__main__.Process object at 0x0000014F51D0D690>
8.171117149397533	departure	<__main__.Process object at 0x0000014F51CFD7D0>
8.207214008092965	arrival	<__main__.Process object at 0x0000014F51D0D750>
8.207214008092965	departure	<__main__.Process object at 0x0000014F51CFD950>
8.222677831278002	swapping	<__main__.Process object at 0x0000014F51CFD950>
8.222677831278002	arrival	<__main__.Process object at 0x0000014F51D0D850>
8.222677831278002	departure	<__main__.Process object at 0x0000014F51CFD950>
8.301426393610301	arrival	<__main__.Process object at 0x0000014F51D0D910>
8.301426393610301	departure	<__main__.Process object at 0x0000014F51CFDA10>
8.38110150831267	swapping	<__main__.Process object at 0x0000014F51CFDA10>
8.38110150831267	arrival	<__main__.Process object at 0x0000014F51D0DA10>
